feature,coefficient
num__prior_campaign_engagement,0.19365196132897552
num__email_open_rate,0.11918577150056497
num__renewal_window_flag,0.08539362451604107
cat__cloud_provider_OnPrem,-0.08356537537169308
num__high_engagement_flag,0.06758399439486036
num__revenue,0.05395247135333136
num__multi_location_flag,0.05146314651962508
cat__industry_Tech,-0.048480499362588414
num__legacy_infrastructure_flag,-0.04502925685631111
num__company_size,-0.0348470926778383
num__large_account_flag,0.029648395928123215
cat__cloud_provider_Azure,0.02119228656075232
cat__cloud_provider_GCP,-0.020958010489528105
num__contract_remaining_months,0.020247408830815647
num__current_product_count,0.016306266147131623
num__revenue_per_employee,-0.014856210933500162
cat__website_visits_bin_low,-0.014478848656237258
cat__contract_remaining_bin_short,0.011524936559559778
cat__contract_remaining_bin_medium,0.009338205410471295
cat__industry_Manufacturing,0.008375871776972193
cat__industry_Healthcare,-0.0077333053139848115
cat__company_size_bin_mid,-0.007697288116150766
num__avg_monthly_bill,-0.007455624659626606
num__tenure_months,0.004594439568426334
cat__company_size_bin_small,-0.001060714929924275
num__website_visits_30d,-0.000391118843159396
cat__industry_Retail,-1.1527206507298024e-05
